Subspecies,RhinoID,Sex,BirthDate,Mother,IntroductionDate,Origin,Destination,Father,
D.b.michaeli,Long'uro,M,NA,NA,NA,NA,NA,NA,
D.b.michaeli,Walid,M,NA,NA,NA,NA,NA,NA,
D.b.michaeli,Unknown_1,M,NA,NA,NA,NA,NA,NA,
D.b.michaeli,Ol Jogi Bull,M,NA,NA,NA,NA,NA,NA,
D.b.michaeli,Lucky,M,NA,NA,NA,NA,NA,NA,
D.b.michaeli,Unknown_2,M,NA,NA,NA,NA,NA,NA,
D.b.michaeli,Unknown_3,M,NA,NA,NA,NA,NA,NA,
D.b.michaeli,Sonny liston,M,NA,NA,NA,NA,NA,NA,
D.b.michaeli,Mama Kali-OJ,F,NA,NA,NA,NA,NA,NA,
D.b.michaeli,Grace,F,NA,NA,NA,NA,NA,NA,
